ssh aile;Device;Adresse-IP;Racine-nom-CVS;Numversion:1.7;DateRevision: 28/07/2022
DESIRS;I05-l-C00/CA/BAI.SAPHIRS-MOS.1-CB;172.20.5.51;DESIRS_BAI.SAPHIRS_MOS1_parameters;;
;;;;;
DIFFABS;D13-1-C00/CA/BAI.1180-MOS.1-CB;172.20.14.48;DIFFABS_B1180_MOS1_parameters;;
DIFFABS;D13-1-C00/CA/BAI.1183-MOS.1-CB;172.20.14.49;DIFFABS_B1183_MOS1_parameters;;
DIFFABS;D13-1-C00/CA/BAI.1184-MOS.1-CB;172.20.14.50;DIFFABS_B1184_MOS1_parameters;;
DIFFABS;D13-1-C00/CA/BAI.1184-MOS.2-CB;172.20.14.51;DIFFABS_B1184_MOS2_parameters;;
DIFFABS;D13-1-C00/CA/BAI.1184-MOS.3-CB;172.20.14.60;DIFFABS_B1184_MOS3_parameters;;
DIFFABS;D13-1-C00/CA/BAI.1185-MOS.1-CB;172.20.14.52;DIFFABS_B1185_MOS1_parameters;;
DIFFABS;D13-1-C00/CA/BAI.1185-MOS2-CB;172.20.14.53;DIFFABS_B1185_MOS2_parameters;;
DIFFABS;D13-1-C00/CA/BAI.1185-MOS.3-CB;172.20.14.54;DIFFABS_B1185_MOS3_parameters;;
DIFFABS;D13-1-C00/CA/BAI.1185-MOS.4-CB;172.20.14.55;DIFFABS_B1185_MOS4_parameters;;
DIFFABS;D13-1-C00/CA/BAI.1185-MOS.5-CB;172.20.14.56;DIFFABS_B1185_MOS5_parameters;;
;;;;;
DISCO;d04-2.85-c00/ca/bai.1280-mos.1-cb;172.20.4.49;DISCO_B1280_MOS1_parameters;;
DISCO;D04-2.85-C00/CA/BAI.1283-MOS.1-CB;172.20.4.48;DISCO_B1283_MOS1_parameters;;
DISCO;Disco-BAI.1285/EXP/CB.1;172.20.4.50;DISCO_B1285_MOS1_parameters;;
;;;;;
GALAXIES;I07-C-C00/CA/BAI.1340-MOS.1;172.20.22.48;GALAXIES_B1340_MOS1_parameters;;
GALAXIES;I07-C-C00/CA/BAI.1340-MOS.2-CB;172.20.22.49;GALAXIES_B1340_MOS2_parameters;;
GALAXIES;I07-C-C00/CA/BAI.1340-MOS.3-CB;172.20.22.50;GALAXIES_B1340_MOS3_parameters;;
GALAXIES;I07-C-C00/CA/BAI.1340-MOS.4-CB;172.20.22.51;GALAXIES_B1340_MOS4_parameters;;
GALAXIES;I07-C-C00/CA/BAI.1340-MOS.5-CB-QUART-ONDE;172.20.22.66;GALAXIES_B1340_MOS5_QUART_ONDE_parameters;;
GALAXIES;I07-C-C00/CA/BAI.1341-MOS.1-CB;172.20.22.68;GALAXIES_B1341_MOS1_parameters;;
GALAXIES;I07-C-C00/CA/BAI.1341-MOS.2-CB;172.20.22.69;GALAXIES_B1341_MOS2_parameters;;
GALAXIES;I07-C-C00/CA/BAI.1341-MOS.3-CB;172.20.22.61;GALAXIES_B1341_MOS3_parameters;;
GALAXIES;I07-C-C00/CA/BAI.1343-MOS.1-CB;172.20.22.62;GALAXIES_B1343_MOS1_parameters;;
GALAXIES;I07-C-C00/CA/BAI.1343-MOS.2-CB;172.20.22.63;GALAXIES_B1343_MOS2_parameters;;
GALAXIES;I07-C-C00/CA/BAI.1343-MOS.3-CB;172.20.22.64;GALAXIES_B1343_MOS3_parameters;;
GALAXIES;I07-C-C00/CA/BAI.1343-MOS.4-CB;172.20.22.65;GALAXIES_B1343_MOS4_parameters;;
GALAXIES;I07-C-C00/CA/BAI.1346-MOS.1-CB;172.20.22.70;GALAXIES_B1346_MOS1_parameters;;
GALAXIES;I07-C-C00/CA/BAI.1347-MOS.1-CB;172.20.22.59;GALAXIES_B1347_MOS1_parameters-HRM;;
GALAXIES;i07-c-c00/ca/BAI.CH-PREP-MOS.1-CB;172.20.22.67;GALAXIES_BCH_PREP-MOS1_parameters;;
GALAXIES;i07-c-c00/ca/BAI.CH-PREP-MOS.2-CB;172.20.22.71;GALAXIES_BCH_PREP-MOS2_parameters;;
;;;;;
HERMES;I10-M-C00/CA/BAI.1482-MOS.1-CB;172.20.29.48;HERMES_B1482_MOS1_parameters;;
HERMES;I10-M-C00/CA/BAI.1482-MOS.2-CB;172.20.29.49;HERMES_B1482_MOS2_parameters;;
HERMES;I10-M-C00/CA/BAI.1482-MOS.3-CB;172.20.29.50;HERMES_B1482_MOS3_parameters;;
HERMES;I10-M-C00/CA/BAI.1482-MOS.4-CB;172.20.29.56;HERMES_B1482_MOS4_parameters;;
HERMES;I10-M-C00/CA/BAI.1482-MOS.5-CB;172.20.29.57;HERMES_B1482_MOS5_parameters;;
HERMES;I10-M-C00/CA/BAI.1483-MOS.1-CB;172.20.29.51;HERMES_B1483_MOS1_parameters;;
HERMES;I10-M-C00/CA/BAI.1485-MOS.1-CB;172.20.29.54;HERMES_B1485_MOS1_parameters;;
HERMES;I10-M-C00/CA/BAI.1485-MOS.2-CB;172.20.29.55;HERMES_B1485_MOS2_parameters;;
;;;;;
LUCIA;I16-M-C00/CA/BAI.1101-MOS.1-CB;172.20.6.48;LUCIA_B1101_MOS1_parameters;;
LUCIA;I16-M-C00/CA/BAI.1101-MOS.2-CB;172.20.6.49;LUCIA_B1101_MOS2_parameters;;
LUCIA;I16-M-C00/CA/BAI.1101-MOS.3-CB;172.20.6.50;LUCIA_B1101_MOS3_parameters;;
logout;I16-M-C00/CA/BAI.1101-MOS.4-CB;172.20.6.51;LUCIA_B1101_MOS4_parameters;;
nanoscopium;I16-M-C00/CA/BAI.1103-MOS.1-CB;172.20.6.52;LUCIA_B1103_MOS1_parameters;;
LUCIA;I16-M-C00/CA/BAI.1103-MOS.2-CB;172.20.6.53;LUCIA_B1103_MOS2_parameters;;
